aX,aY,aZ,gX,gY,gZ
-1.743,0.165,-0.178,8.911,-61.951,-19.226
-1.605,0.055,-0.152,11.780,-44.739,2.441
-1.496,-0.031,-0.196,9.277,-33.264,26.001
-1.517,-0.203,-0.342,-0.061,-31.860,44.250
-2.016,-0.366,-0.617,-14.465,-40.344,58.472
-3.036,0.207,-0.563,-7.385,-36.560,63.232
-2.316,0.959,-0.310,7.263,-17.334,37.231
-0.805,1.505,-0.288,5.127,-3.357,-2.930
0.364,2.222,0.306,26.367,20.325,-29.236
0.976,2.094,0.055,32.898,31.616,-30.518
0.025,1.959,-0.420,12.939,28.625,-3.662
-0.469,2.095,-0.511,17.761,19.287,40.222
-0.253,1.113,-0.553,26.489,-3.357,76.965
-0.497,0.456,-0.487,32.166,-22.766,72.693
-0.761,0.066,-0.369,30.823,-26.550,56.702
-0.677,0.173,-0.180,17.212,-23.499,31.616
-0.536,0.551,-0.105,4.211,-14.771,0.732
-0.535,1.001,-0.100,-0.671,-6.226,-9.460
-0.507,1.164,-0.187,1.648,2.563,-8.240
-0.383,1.067,-0.333,1.831,9.399,-7.690
-0.330,1.009,-0.352,2.319,10.864,-6.592
-0.376,0.961,-0.302,-0.305,9.766,-6.226
-0.361,0.929,-0.219,-3.845,7.446,-9.033
-0.379,0.893,-0.183,-9.766,2.747,-14.526
-0.387,0.898,-0.180,-13.794,-0.854,-18.738
-0.410,0.854,-0.253,-17.029,-1.160,-23.254
-0.382,0.943,-0.326,-19.165,3.601,-27.954
-0.404,0.947,-0.353,-19.531,10.681,-29.663
-0.428,0.972,-0.307,-17.151,16.479,-28.870
-0.408,0.950,-0.282,-15.137,19.348,-30.457
-0.432,0.941,-0.296,-14.587,19.531,-35.767
-0.381,0.942,-0.333,-15.991,18.799,-40.649
-0.331,1.013,-0.375,-18.433,19.348,-45.105
-0.325,1.133,-0.433,-17.639,23.437,-47.546
-0.254,1.174,-0.431,-15.869,30.151,-50.293
-0.252,1.215,-0.367,-13.062,33.875,-53.101
-0.264,1.280,-0.348,-4.089,36.438,-50.415
-0.232,1.206,-0.306,-0.122,44.373,-52.612
-0.203,1.109,-0.268,-1.831,48.645,-60.364
-0.193,1.071,-0.235,0.488,48.462,-60.425
-0.146,1.022,-0.240,4.883,47.668,-50.537
-0.112,0.977,-0.221,7.568,43.274,-40.161
-0.032,0.930,-0.224,5.127,35.400,-34.058
-0.034,0.896,-0.258,0.122,29.175,-32.471
-0.116,0.909,-0.312,-3.113,27.466,-31.494
-0.146,0.898,-0.300,-2.319,31.250,-28.259
-0.120,0.854,-0.259,-0.305,36.194,-23.743
-0.107,0.803,-0.227,2.686,37.903,-17.639
-0.085,0.756,-0.201,4.578,35.461,-10.132
-0.042,0.700,-0.256,4.395,28.137,-4.883
-0.070,0.683,-0.286,3.479,20.813,-2.441
-0.121,0.679,-0.309,2.991,16.541,0.366
-0.112,0.676,-0.335,3.113,13.672,3.540
-0.132,0.680,-0.337,3.357,11.536,5.676
-0.179,0.709,-0.333,3.601,11.475,6.836
-0.183,0.700,-0.361,3.723,11.169,8.606
-0.171,0.714,-0.302,3.662,11.353,9.766
-0.193,0.735,-0.265,3.479,10.315,9.705
-0.191,0.808,-0.271,4.517,8.667,10.681
-0.100,0.851,-0.286,4.761,5.310,12.451
-0.133,0.923,-0.292,4.822,1.587,13.733
-0.147,0.985,-0.281,6.104,-1.526,15.442
-0.214,1.057,-0.293,7.874,-3.906,16.113
